AIRLINE_SURROGATE_KEY,CARRIER_CODE,UNIQUE_CARRIER_NAME,TOT_OP_REVENUES,TOT_OP_EXPENSES,TOT_OP_PROFIT_LOSS
2,16,PSA Airlines Inc.,333922.23,327773.53,6148.71
3,9E,Endeavor Air Inc.,585233.14,591869.15,-6636.02
4,AS,Alaska Airlines Inc.,5150814,4293788,857023
5,CP,Compass Airlines,135932.37,127682.5,8249.86
6,MQ,Envoy Air,1138988.69,1095208.44,43780.27
7,VX,Virgin America,1424678.1,1337682.9,86995.19
8,DL,Delta Air Lines Inc.,37818194,33980512,3837682
9,S5,Shuttle America Corp.,405541.31,319865.8,85675.5
10,U7,USA Jet Airlines Inc.,203291.11,193230.95,10060.13
11,UA,United Air Lines Inc.,38287133.73,37028055.48,1259080.26
12,WN,Southwest Airlines Co.,17699434,16421183,1278251
13,YX,Republic Airlines,647179.72,577180.58,69999.14
15,ZW,Air Wisconsin Airlines Corp,655627.1,639935.31,15691.79
16,KH,Aloha Air Cargo,70444.4,67752.42,2691.97
17,F9,Frontier Airlines Inc.,1348551.48,1326037.01,22514.46
18,RP,Chautauqua Airlines Inc.,310772.47,268597.8,42174.67
20,US,US Airways Inc.,14935550.74,13933009.52,1002541.21
22,SY,Sun Country Airlines d/b/a MN Airlines,409636.89,406400.07,3236.83
24,NK,Spirit Air Lines,1654384.85,1372094.8,282290.06
25,B6,JetBlue Airways,5441827.63,5027297.49,414530.13
35,NC,Northern Air Cargo Inc.,85044.19,83202.22,1841.96
45,09Q,"Swift Air, LLC",19088.98,25601.51,-6512.53
46,0JQ,Vision Airlines,28316.54,35828.28,-7511.75
48,8C,Air Transport International,163599.18,195021.48,-31422.3
50,9S,Southern Air Inc.,275436.75,268203.97,7232.79
51,AA,American Airlines Inc.,25760245,24271912,1488333
53,FCQ,Falcon Air Express,35695.71,26936.27,8759.44
54,G7,GoJet Airlines LLC d/b/a United Express,202433.87,181687.18,20746.71
55,HA,Hawaiian Airlines Inc.,2155554.2,2018348.9,137205.3
56,SLQ,Sky King Inc. (1),35575.15,38343.75,-2768.6
57,WP,Island Air Hawaii,26940.97,34485.88,-7544.91
60,5X,United Parcel Service,5797641.18,5460815.5,336825.71
61,ABX,ABX Air Inc,295682.33,279402.13,16280.2
62,AMQ,Ameristar Air Cargo,7624.45,11176.7,-3552.26
65,EV,ExpressJet Airlines Inc.,1466340.55,1494302.06,-27961.49
66,EZ,Evergreen International Inc.,117224.23,168906.99,-51682.76
68,G4,Allegiant Air,957823.95,826248.75,131575.2
69,GFQ,Gulf And Caribbean Cargo,62150.03,60972.77,1177.27
70,GL,Miami Air International,126394.03,124680.77,1713.29
72,KAQ,Kalitta Air LLC,791857.56,791546.23,311.31
73,KLQ,Kalitta Charters II,38030.23,29557.01,8473.22
74,NA,North American Airlines,189849.42,187595.47,2253.97
75,OO,SkyWest Airlines Inc.,1827568,1644128,183440
76,PFQ,Asia Pacific,24546.72,23310.25,1236.47
77,PRQ,Florida West Airlines Inc.,38519.63,37705.57,814.05
78,QX,Horizon Air,372941,337901,35040
79,WE,Centurion Cargo Inc.,439444.94,466430.68,-26985.74
80,WO,World Airways Inc.,278267.93,318739.76,-40471.83
81,X9,Omni Air Express,353348.98,335796.24,17552.73
83,K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",30646.47,31840.87,-1194.4
85,0WQ,Avjet Corporation,72094.35,69891.58,2202.77
86,5Y,Atlas Air Inc.,1516404.57,1353498.37,162906.19
87,FX,Federal Express Corporation,26144622,25321753,822869
88,MRQ,"National Air Cargo Group, Inc. d/b/a Murray Air",57334.83,105322.13,-47987.31
89,WI,Tradewinds Airlines,59165.14,67899.02,-8734.11
90,XP,Casino Express,30494.45,31989.31,-1494.87
92,PM,"Prescott Support Company, Inc.",18159.11,17723.13,435.98
93,PO,Polar Air Cargo Airways,1005450.45,1005417.43,32.99
94,YV,Mesa Airlines Inc.,431478.31,388651.63,42826.67
98,1EQ,"KaiserAir, Inc.",8987.35,7690.18,1297.17
103,1BQ,"Dynamic Airways, LLC",8339.42,12300.78,-3961.36
104,1TQ,Rhoades Aviation dba Transair,2410.91,2085.75,325.16
105,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,51952.62,51333.11,619.51
106,M6,Amerijet International,201003.78,192754.13,8249.65
108,L2,Lynden Air Cargo Airlines,94953.53,73227.12,21726.41
117,OW,Executive Airlines,12015.32,13899.81,-1884.5
