Airline_Surrogate_Key	Airline_Unique_Name	Airline_Iata_Faa	Total_Op_Profit_Loss_2013	Route_Nature	Total_Distance_In_Km	Total_Emission
4	Alaska Airlines Inc.	AS	857023	Domestic	8650783.472	87883.30929
4	Alaska Airlines Inc.	AS	857023	International	1568718.649	15936.61276
5	Compass Airlines	CP	8249.86	Domestic	1549519.223	15741.56579
5	Compass Airlines	CP	8249.86	International	155951.4834	1584.311119
6	Envoy Air	MQ	43780.27	Domestic	3560154.589	36167.61047
6	Envoy Air	MQ	43780.27	International	770860.9853	7831.176749
7	Virgin America	VX	86995.19	Domestic	2909062.296	29553.16387
7	Virgin America	VX	86995.19	International	431105.1712	4379.597434
8	Delta Air Lines Inc.	DL	3837682	Domestic	31287944.99	497152.3831
8	Delta Air Lines Inc.	DL	3837682	International	11065625.5	263103.5794
9	Shuttle America Corp.	S5	85675.5	Domestic	3474471.718	35297.15819
9	Shuttle America Corp.	S5	85675.5	International	364645.8665	3704.437358
10	USA Jet Airlines Inc.	U7	10060.13	Domestic	1262527.23	12826.01413
10	USA Jet Airlines Inc.	U7	10060.13	International	383153.2765	3892.454136
11	United Air Lines Inc.	UA	1259080.26	Domestic	42277181.55	622326.7324
11	United Air Lines Inc.	UA	1259080.26	International	17763986.65	319329.3899
12	Southwest Airlines Co.	WN	1278251	Domestic	7124927.984	72382.14339
13	Republic Airlines	YX	69999.14	Domestic	5528198.772	56160.97133
13	Republic Airlines	YX	69999.14	International	196942.9825	2000.743759
17	Frontier Airlines Inc.	F9	22514.46	Domestic	3673598.575	37320.08793
17	Frontier Airlines Inc.	F9	22514.46	International	1745630.177	17733.85696
18	Chautauqua Airlines Inc.	RP	42174.67	Domestic	172542.1694	1752.855899
20	US Airways Inc.	US	1002541.21	Domestic	11033366.28	139439.7723
20	US Airways Inc.	US	1002541.21	International	4810590.848	77442.0306
22	Sun Country Airlines d/b/a MN Airlines	SY	3236.83	Domestic	3831004.902	38919.1788
22	Sun Country Airlines d/b/a MN Airlines	SY	3236.83	International	686562.1467	6974.784849
24	Spirit Air Lines	NK	282290.06	Domestic	4604418.3	46776.28551
24	Spirit Air Lines	NK	282290.06	International	1398415.072	14206.49871
25	JetBlue Airways	B6	414530.13	Domestic	8460385.675	85949.05807
25	JetBlue Airways	B6	414530.13	International	2517062.478	25570.83771
45	Swift Air LLC	09Q	-6512.53	Domestic	467104.4976	4745.314592
45	Swift Air LLC	09Q	-6512.53	International	110613.1569	1123.719061
46	Vision Airlines	0JQ	-7511.75	Domestic	610335.7576	6200.400962
46	Vision Airlines	0JQ	-7511.75	International	16560.1086	168.2341433
48	Air Transport International	8C	-31422.3	Domestic	158690.58	4861.961991
50	Southern Air Inc.	9S	7232.79	Domestic	80990.0355	2481.372708
50	Southern Air Inc.	9S	7232.79	International	810093.4758	24819.64391
51	American Airlines Inc.	AA	1488333	Domestic	8846826.833	151535.1622
51	American Airlines Inc.	AA	1488333	International	6325990.453	127671.9511
55	Hawaiian Airlines Inc.	HA	137205.3	Domestic	38672.4402	392.87332
56	Sky King Inc. (1)	SLQ	-2768.6	Domestic	189763.7168	1927.809599
56	Sky King Inc. (1)	SLQ	-2768.6	International	272705.8817	2770.419052
57	Island Air Hawaii	WP	-7544.91	Domestic	20979.35624	213.12928
60	United Parcel Service	5X	336825.71	Domestic	3352255.22	102706.3954
60	United Parcel Service	5X	336825.71	International	1297625.326	39756.64474
65	ExpressJet Airlines Inc.	EV	-27961.49	Domestic	689983.6036	7009.543429
65	ExpressJet Airlines Inc.	EV	-27961.49	International	2481.60228	25.21059756
66	Evergreen International Inc.	EZ	-51682.76	Domestic	139454.139	4272.595911
66	Evergreen International Inc.	EZ	-51682.76	International	300429.9819	9204.573784
68	Allegiant Air	G4	131575.2	Domestic	1799058.655	39909.4278
69	Gulf And Caribbean Cargo	GFQ	1177.27	Domestic	475191.4311	4827.469749
69	Gulf And Caribbean Cargo	GFQ	1177.27	International	264007.399	2682.051166
