Airline_Surrogate_Key,Airline_Unique_Name,Airline_Iata_Faa,Total_Op_Profit_Loss_2013,Total_Distance_In_Km,Total_Emission
4,Alaska Airlines Inc.,AS,857023,10219502.12,103819.922
5,Compass Airlines,CP,8249.86,1705470.706,17325.8769
6,Envoy Air,MQ,43780.27,4331015.574,43998.78722
7,Virgin America,VX,86995.19,3340167.467,33932.7613
8,Delta Air Lines Inc.,DL,3837682,42353570.49,760255.9625
9,Shuttle America Corp.,S5,85675.5,3839117.585,39001.59554
10,USA Jet Airlines Inc.,U7,10060.13,1645680.507,16718.46827
11,United Air Lines Inc.,UA,1259080.26,60041168.21,941656.1223
12,Southwest Airlines Co.,WN,1278251,7124927.984,72382.14339
13,Republic Airlines,YX,69999.14,5725141.755,58161.71509
17,Frontier Airlines Inc.,F9,22514.46,5419228.752,55053.94489
18,Chautauqua Airlines Inc.,RP,42174.67,172542.1694,1752.855899
20,US Airways Inc.,US,1002541.21,15843957.13,216881.8029
22,Sun Country Airlines d/b/a MN Airlines,SY,3236.83,4517567.049,45893.96365
24,Spirit Air Lines,NK,282290.06,6002833.372,60982.78423
25,JetBlue Airways,B6,414530.13,10977448.15,111519.8958
45,Swift Air LLC,09Q,-6512.53,577717.6545,5869.033652
46,Vision Airlines,0JQ,-7511.75,626895.8662,6368.635105
48,Air Transport International,8C,-31422.3,158690.58,4861.961991
50,Southern Air Inc.,9S,7232.79,891083.5113,27301.01662
51,American Airlines Inc.,AA,1488333,15172817.29,279207.1133
55,Hawaiian Airlines Inc.,HA,137205.3,38672.4402,392.87332
56,Sky King Inc. (1),SLQ,-2768.6,462469.5984,4698.228651
57,Island Air Hawaii,WP,-7544.91,20979.35624,213.12928
60,United Parcel Service,5X,336825.71,4649880.546,142463.0402
65,ExpressJet Airlines Inc.,EV,-27961.49,692465.2059,7034.754026
66,Evergreen International Inc.,EZ,-51682.76,439884.1209,13477.1697
68,Allegiant Air,G4,131575.2,1799058.655,39909.4278
69,Gulf And Caribbean Cargo,GFQ,1177.27,739198.8301,7509.520915
70,Miami Air International,GL,1713.29,3315913.104,33686.36122
72,Kalitta Air LLC,KAQ,311.31,1057236.601,32391.61498
75,SkyWest Airlines Inc.,OO,183440,438316.6237,774.0671575
78,Horizon Air,QX,35040,868572.0634,8823.823592
80,World Airways Inc.,WO,-40471.83,186601.3637,5717.09258
85,Avjet Corporation,0WQ,2202.77,11501.95298,116.8483403
86,Atlas Air Inc.,5Y,162906.19,5871229.593,179882.7323
87,Federal Express Corporation,FX,822869,2195089.87,67253.16345
88,National Air Cargo Group Inc. d/b/a Murray Air,MRQ,-47987.31,286126.1679,8766.333533
90,Casino Express,XP,-1494.87,749635.4,7615.546029
93,Polar Air Cargo Airways,PO,32.99,1367345.154,41892.72081
104,Rhoades Aviation dba Transair,1TQ,325.16,7048.9092,71.60986856
105,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,5V,619.51,133473.8316,995.3456798
117,Executive Airlines,OW,-1884.5,25178.1243,255.7845648
